fecha,hora,parametro,value
2023-11-01,00:00,power_1,2.305294
2023-11-01,01:00,power_1,2.814885
2023-11-01,02:01,power_1,2.557016
2023-11-01,03:01,power_1,2.098545
2023-11-01,04:01,power_1,2.024452
2023-11-01,05:01,power_1,2.181374
2023-11-01,06:01,power_1,2.220847
2023-11-01,07:01,power_1,2.729468
2023-11-01,08:01,power_1,1.623897
2023-11-01,09:01,power_1,1.5786
2023-11-01,10:01,power_1,1.533303
2023-11-01,11:01,power_1,1.51389
2023-11-01,12:01,power_1,1.40809
2023-11-01,13:01,power_1,1.715139
2023-11-01,14:01,power_1,1.547863
2023-11-01,15:01,power_1,1.546893
2023-11-01,16:01,power_1,1.479594
2023-11-01,17:01,power_1,1.436238
2023-11-01,18:01,power_1,1.420708
2023-11-01,19:01,power_1,1.420384
2023-11-01,20:01,power_1,1.458887
2023-11-01,21:01,power_1,1.509684
2023-11-01,22:01,power_1,1.259904
2023-11-01,23:01,power_1,1.330761
2023-11-02,00:01,power_1,1.416825
2023-11-02,01:01,power_1,2.595842
2023-11-02,02:02,power_1,2.752763
2023-11-02,03:02,power_1,2.353826
2023-11-02,04:02,power_1,2.25935
2023-11-02,05:02,power_1,2.315
2023-11-02,06:02,power_1,2.452833
2023-11-02,07:02,power_1,1.658841
2023-11-02,08:02,power_1,1.761406
2023-11-02,09:02,power_1,1.781466
2023-11-02,10:02,power_1,1.690872
2023-11-02,11:02,power_1,1.754935
2023-11-02,12:02,power_1,1.748141
2023-11-02,13:02,power_1,1.850706
2023-11-02,14:02,power_1,1.643634
2023-11-02,15:02,power_1,1.549481
2023-11-02,16:02,power_1,1.626162
2023-11-02,17:05,power_1,1.524891
2023-11-02,18:05,power_1,1.530391
2023-11-02,19:05,power_1,1.454681
2023-11-02,20:05,power_1,1.453063
2023-11-02,21:05,power_1,1.327849
2023-11-02,22:05,power_1,1.212018
2023-11-02,23:05,power_1,1.458563
2023-11-03,00:05,power_1,1.582483
2023-11-03,01:05,power_1,1.532009
2023-11-03,02:05,power_1,2.590988
2023-11-03,03:05,power_1,2.491982
2023-11-03,04:05,power_1,2.469657
2023-11-03,05:05,power_1,2.640815
2023-11-03,06:05,power_1,2.657316
2023-11-03,07:05,power_1,1.687313
2023-11-03,08:05,power_1,1.701226
2023-11-03,09:05,power_1,1.652046
2023-11-03,10:05,power_1,1.707697
